Agency,nfi_plot,Long,Lat,slope,aspect,elevation,province,ecozone,land_base,land_cover,land_pos,density_cl,stand_stru,succ_stage,wetland_class,veg_type,site_age,site_height,lorey_height,Pct_ABIE,Pct_PICE,Pct_PINU,Pct_PSEU,Pct_THUJCHAM,Pct_TSUG,LoCBH_ABIE,LoCBH_PICE,LoCBH_PINU,LoCBH_PSEU,LoCBH_THUJCHAM,LoCBH_TSUG,Dom_ltp_gen,Dom_ltp_pct,Dom_decid_con,Sec_ltp_gen,Sec_ltp_pct,Sec_decid_con,ltp_con_pct,stree_mean_H,Dom_stp_gen,Dom_stp_pct,LoreyCBH,num_CBH_obs,SFL,CFL,TFL,CBD,stp_CBD,basal_area_standlive,basal_area_standlive_small,basal_area_standlive_total,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead,picemar_pct,Larilar_pct,all_stp_fuels_kg_m2,saplings_kg_m2,herbs_kg_m2,mosslichen_kg_m2,size1_2_kg_m2,SPHA,CLAD,FM,Dom_surf,avg_org_thick,TreedPeatland,avg_org_carb,avg_bulk_density_org,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NFI,1136161,-81,50.1,0,999,-1,ON,Boreal Shield East,V,T,W,DE,SNGL,TS,U,TC,190,13,10.6,0,12.9391991225239,0,0,0,0,1.68645662087893,1.53177764830594,0,0,0,0,PICE,0.948,CON,LARI,0.052,DEC,0.95,2.43,PICE,0.951,2.377,6,,0.964365,1.918015,,0.4171,8.93,6.450475116,15.380475116,1.56,0,825,50,0,20.49,3.09,3.73,4.31,3.37,0.46,0.51,1,0.04,1.0125,0.27135,0.00415,0.624025,0.054125,0.257,0.011,0.231,other,39.3,1,440.69,0.08,-0.1,11.9,0.24,124.55,23.1,-25.6,48.7,13.8,-9.4,14.9,-17.2,815,99,38,29,277,129,271,144
NFI,1136166,-80.72,50.01,0,999,-1,ON,Boreal Shield East,V,T,W,OP,SNGL,TS,U,TC,74,13.6,10,0,19.8635245854389,0,0,0,0,0,0.550153575259188,0,0,0,0,PICE,1,CON,,0,,1,2.79,PICE,0.906,0.55,4,,1.5176125,2.2887375,,0.3906,14.85,9.7449062522,24.5949062522,1.06,0,1275,50,0,32.13,4.99,6.66,7.8,2.17,0.32,0.46,1,0,1.0885,0.309,0.00825,0.36145,0.092425,0.21,0.033,0.101,other,37.65,1,455.07,0.09,-0.4,12.1,0.24,124.36,22.9,-25.9,48.8,13.5,-9.7,14.5,-17.4,831,100,38,29,283,132,276,145
NFI,1136191,-79.62,49.46,0,999,-1,ON,Boreal Shield East,V,T,W,DE,SNGL,OG,U,TC,155,13.4,11.9,0,25.4357674751112,0,0,0,0,0,1.93453275264847,0,0,0,0,PICE,1,CON,,0,,1,2.32,PICE,0.882,1.935,12,,1.7753925,2.3943175,0.1782,0.1464,18.92,2.6950152579,21.6150152579,2.52,0,1375,175,0,47.11,7.02,7.61,8.16,5.56,0.81,0.85,1,0,0.3395,0.324825,0.004325,0.2245,0.065275,0.1,0.013,0.506,3,20,0,488.96,0.04,0.1,12,0.24,123.73,23.1,-25.3,48.4,13.8,-9.2,15,-16.9,838,103,34,32,297,128,287,137
NFI,1136321,-74.35,46.41,5,265,470,QC,Boreal Shield East,V,T,U,DE,SNGL,MS,U,TB,,17.6,17,0,0,0,0,0,0,0,0,0,0,0,0,BETU,1,DEC,,0,,0,,,0,,0,,0.62,0.62,,,7.37,0,7.37,0,0,275,0,0,27.67,4.56,4.92,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,other,,,,,1.6,10.7,0.25,108.61,22,-20.6,42.6,14.9,-6.4,14.9,-13.2,1173,115,75,15,338,233,338,268
NFI,1136336,-73.84,46.05,40,36,260,QC,Boreal Shield East,V,T,U,OP,SNGL,LS,U,TB,73,18.6,16.5,0.188574099031727,0.834583723380213,0,0,3.62374858609949,0.465662571078347,0,0,0,0,0,0,BETU,0.515,DEC,ACER,0.24,DEC,0,,,0,,0,,2.304,2.304,,,22.98,0,22.98,1.99,0,750,50,0,79.26,12.13,17.53,5.16,7.57,0.97,2.08,0,0,0,0,0,0,0,0,0,0,other,,,,,4.2,11.3,0.26,107.91,25,-17.8,42.8,17.3,-3.8,17.3,-10.6,1035,100,68,13,289,215,289,242
NFI,1142211,-131.42,58.8,10,68,930,BC,Boreal Cordillera,V,T,U,OP,SNGL,MS,U,TC,183,22,21.8,0,29.9204695279269,0,0,0,0,0,5.7850997186707,0,0,0,0,PICE,1,CON,,0,,1,7.3,PICE,1,5.785,19,,2.66127,3.34897,0.1662,0.006,29.92,1.0207034532,30.9407034532,0,0,475,0,0,95.52,11.65,18.44,10.88,0,0,0,0,0,0.044,0,0.0849,0,0.6028,0,0.003,0.303,other,8.3,0,455.3,0.09,-1.3,11.2,0.28,98.27,18.8,-20.6,39.4,5.8,-1,10.8,-14.3,467,53,16,30,151,69,129,122
NFI,1142331,-123,58.82,0,999,406,BC,Taiga Plains,V,T,W,DE,SNGL,MS,U,TC,73,8.7,9,0,3.00617037526599,0,0,0,0,0,4.16531354708921,0,0,0,0,PICE,0.928,CON,LARI,0.072,DEC,0.93,2.32,PICE,1,4.153,14,,0.18259,0.23849,0.0377,0.3501,3.11,26.9570640827,30.0670640827,0,0,350,0,0,6.01,1.08,0.58,0.94,0,0,0,0.54,0.008,0.811,0,0.0559,0,0,0.013,0.183,0.017,other,40,1,548.63,0.07,-1.2,12.4,0.25,133.57,22.8,-26.5,49.3,14.7,-8,14.7,-19.1,451,80,18,52,205,59,205,64
NFI,1142726,-97.41,55.67,0,999,175,MB,Boreal Shield West,V,T,U,DE,SNGL,TS,U,TC,106,17.8,17.4,0,59.3089692448307,0,0,0,0,0,12.376558637368,0,0,0,0,PICE,0.989,CON,POPU,0.011,DEC,0.99,5.94,PICE,1,12.401,117,,3.4395,5.6195,0.688,0.0586,41.38,3.7680262287,45.1480262287,6.51,0,2340,500,0,142.17,19.7,11.99,10.96,17.18,2.52,2.89,0.907,0,0.348,0.01,0.04,1.59,0.54,0,0.005,1,3,9.35,0,447.5,0.08,-3,11.5,0.21,141.47,22.5,-29.9,52.4,14.2,-19.5,14.2,-22.3,495,77,17,47,211,60,211,63
NFI,1143086,-79.22,49.01,19,103,300,QC,Boreal Shield East,V,T,U,DE,SNGL,MS,U,TC,38,13.3,13.8,0,0,26.992446269919,0,0,0,0,0,0,0,0,0,PINU,1,CON,,0,,1,,,0,,0,,1.482,1.482,,,26.78,0,26.78,0.22,0,1900,25,0,80.76,7.69,8.11,6.8,0.52,0.06,0.06,0,0,0,0,0,0,0,0,0,0,other,,,,,0.6,11.5,0.24,122.66,23.2,-24.4,47.6,14.1,-8.6,15.4,-16.2,856,108,35,33,307,130,296,138
NFI,1143091,-78.96,48.82,1,999,290,QC,Boreal Shield East,V,N,W,DE,NA,ES,U,ST,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,SALI,1,DEC,,0,,0,2.24,ALNU,0.743,,0,,0.0328325,0.2461575,,0.4248,0.2,9.7939150976,9.9939150976,0,0,25,0,0,0.3,0.09,0.08,0.03,0,0,0,0,0,0.9505,0.0825,0.0225,0.003325,0.105,0,0,0.01,other,7.9,,331.48,0.1,0.9,11.4,0.24,121.65,23.3,-23.8,47.1,14.3,-8.1,15.6,-15.7,864,108,36,33,310,131,300,142
